ethnicity,LAD19CD,count_lad19
Other ethnic group: Arab,E06000049,338
Other ethnic group: Any other ethnic group,E06000049,514
All usual residents,E06000050,329608
White,E06000050,321025
White: English/Welsh/Scottish/Northern Irish/British,E06000050,312013
White: Irish,E06000050,2337
White: Gypsy or Irish Traveller,E06000050,213
White: Other White,E06000050,6462
Mixed/multiple ethnic groups,E06000050,3050
Mixed/multiple ethnic groups: White and Black Caribbean,E06000050,889
Mixed/multiple ethnic groups: White and Black African,E06000050,411
Mixed/multiple ethnic groups: White and Asian,E06000050,1059
Mixed/multiple ethnic groups: Other Mixed,E06000050,691
Asian/Asian British,E06000050,4097
Asian/Asian British: Indian,E06000050,1242
Asian/Asian British: Pakistani,E06000050,336
Asian/Asian British: Bangladeshi,E06000050,576
Asian/Asian British: Chinese,E06000050,935
Asian/Asian British: Other Asian,E06000050,1008
Black/African/Caribbean/Black British,E06000050,908
Black/African/Caribbean/Black British: African,E06000050,586
Black/African/Caribbean/Black British: Caribbean,E06000050,196
Black/African/Caribbean/Black British: Other Black,E06000050,126
Other ethnic group,E06000050,528
Other ethnic group: Arab,E06000050,199
Other ethnic group: Any other ethnic group,E06000050,329
All usual residents,E06000006,125746
White,E06000006,123041
White: English/Welsh/Scottish/Northern Irish/British,E06000006,121210
White: Irish,E06000006,654
White: Gypsy or Irish Traveller,E06000006,41
White: Other White,E06000006,1136
Mixed/multiple ethnic groups,E06000006,1356
Mixed/multiple ethnic groups: White and Black Caribbean,E06000006,465
Mixed/multiple ethnic groups: White and Black African,E06000006,253
Mixed/multiple ethnic groups: White and Asian,E06000006,330
Mixed/multiple ethnic groups: Other Mixed,E06000006,308
Asian/Asian British,E06000006,943
Asian/Asian British: Indian,E06000006,282
Asian/Asian British: Pakistani,E06000006,44
Asian/Asian British: Bangladeshi,E06000006,60
Asian/Asian British: Chinese,E06000006,308
Asian/Asian British: Other Asian,E06000006,249
Black/African/Caribbean/Black British,E06000006,260
Black/African/Caribbean/Black British: African,E06000006,95
Black/African/Caribbean/Black British: Caribbean,E06000006,134
Black/African/Caribbean/Black British: Other Black,E06000006,31
Other ethnic group,E06000006,146
Other ethnic group: Arab,E06000006,54
Other ethnic group: Any other ethnic group,E06000006,92
All usual residents,E06000007,202228
White,E06000007,193992
White: English/Welsh/Scottish/Northern Irish/British,E06000007,187968
White: Irish,E06000007,1357
White: Gypsy or Irish Traveller,E06000007,66
White: Other White,E06000007,4601
Mixed/multiple ethnic groups,E06000007,2144
Mixed/multiple ethnic groups: White and Black Caribbean,E06000007,654
Mixed/multiple ethnic groups: White and Black African,E06000007,357
Mixed/multiple ethnic groups: White and Asian,E06000007,663
Mixed/multiple ethnic groups: Other Mixed,E06000007,470
Asian/Asian British,E06000007,4911
Asian/Asian British: Indian,E06000007,1803
Asian/Asian British: Pakistani,E06000007,1179
Asian/Asian British: Bangladeshi,E06000007,152
Asian/Asian British: Chinese,E06000007,849
Asian/Asian British: Other Asian,E06000007,928
Black/African/Caribbean/Black British,E06000007,694
Black/African/Caribbean/Black British: African,E06000007,389
Black/African/Caribbean/Black British: Caribbean,E06000007,214
Black/African/Caribbean/Black British: Other Black,E06000007,91
Other ethnic group,E06000007,487
Other ethnic group: Arab,E06000007,237
Other ethnic group: Any other ethnic group,E06000007,250
All usual residents,E07000026,96422
White,E07000026,95385
White: English/Welsh/Scottish/Northern Irish/British,E07000026,94085
White: Irish,E07000026,241
White: Gypsy or Irish Traveller,E07000026,14
White: Other White,E07000026,1045
Mixed/multiple ethnic groups,E07000026,426
Mixed/multiple ethnic groups: White and Black Caribbean,E07000026,134
Mixed/multiple ethnic groups: White and Black African,E07000026,39
Mixed/multiple ethnic groups: White and Asian,E07000026,179
Mixed/multiple ethnic groups: Other Mixed,E07000026,74
Asian/Asian British,E07000026,477
Asian/Asian British: Indian,E07000026,81
Asian/Asian British: Pakistani,E07000026,34
Asian/Asian British: Bangladeshi,E07000026,91
Asian/Asian British: Chinese,E07000026,123
Asian/Asian British: Other Asian,E07000026,148
Black/African/Caribbean/Black British,E07000026,73
Black/African/Caribbean/Black British: African,E07000026,43
Black/African/Caribbean/Black British: Caribbean,E07000026,20
Black/African/Caribbean/Black British: Other Black,E07000026,10
Other ethnic group,E07000026,61
Other ethnic group: Arab,E07000026,2
Other ethnic group: Any other ethnic group,E07000026,59
All usual residents,E07000027,69087
White,E07000027,67940
White: English/Welsh/Scottish/Northern Irish/British,E07000027,67073
White: Irish,E07000027,222
White: Gypsy or Irish Traveller,E07000027,39
White: Other White,E07000027,606
Mixed/multiple ethnic groups,E07000027,360
Mixed/multiple ethnic groups: White and Black Caribbean,E07000027,117
Mixed/multiple ethnic groups: White and Black African,E07000027,45
Mixed/multiple ethnic groups: White and Asian,E07000027,109
Mixed/multiple ethnic groups: Other Mixed,E07000027,89
Asian/Asian British,E07000027,633
Asian/Asian British: Indian,E07000027,137
Asian/Asian British: Pakistani,E07000027,47
Asian/Asian British: Bangladeshi,E07000027,43
Asian/Asian British: Chinese,E07000027,183
Asian/Asian British: Other Asian,E07000027,223
Black/African/Caribbean/Black British,E07000027,70
Black/African/Caribbean/Black British: African,E07000027,56
Black/African/Caribbean/Black British: Caribbean,E07000027,7
Black/African/Caribbean/Black British: Other Black,E07000027,7
Other ethnic group,E07000027,84
Other ethnic group: Arab,E07000027,35
Other ethnic group: Any other ethnic group,E07000027,49
All usual residents,E07000028,107524
White,E07000028,105480
White: English/Welsh/Scottish/Northern Irish/British,E07000028,102189
White: Irish,E07000028,405
White: Gypsy or Irish Traveller,E07000028,196
White: Other White,E07000028,2690
Mixed/multiple ethnic groups,E07000028,535
Mixed/multiple ethnic groups: White and Black Caribbean,E07000028,152
Mixed/multiple ethnic groups: White and Black African,E07000028,91
Mixed/multiple ethnic groups: White and Asian,E07000028,162
Mixed/multiple ethnic groups: Other Mixed,E07000028,130
Asian/Asian British,E07000028,1248
Asian/Asian British: Indian,E07000028,273
Asian/Asian British: Pakistani,E07000028,109
Asian/Asian British: Bangladeshi,E07000028,180
Asian/Asian British: Chinese,E07000028,337
Asian/Asian British: Other Asian,E07000028,349
Black/African/Caribbean/Black British,E07000028,147
Black/African/Caribbean/Black British: African,E07000028,107
Black/African/Caribbean/Black British: Caribbean,E07000028,19
Black/African/Caribbean/Black British: Other Black,E07000028,21
Other ethnic group,E07000028,114
Other ethnic group: Arab,E07000028,52
Other ethnic group: Any other ethnic group,E07000028,62
All usual residents,E07000029,70603
White,E07000029,69491
White: English/Welsh/Scottish/Northern Irish/British,E07000029,68679
White: Irish,E07000029,190
White: Gypsy or Irish Traveller,E07000029,15
White: Other White,E07000029,607
Mixed/multiple ethnic groups,E07000029,339
Mixed/multiple ethnic groups: White and Black Caribbean,E07000029,117
Mixed/multiple ethnic groups: White and Black African,E07000029,37
Mixed/multiple ethnic groups: White and Asian,E07000029,109
Mixed/multiple ethnic groups: Other Mixed,E07000029,76
Asian/Asian British,E07000029,629
Asian/Asian British: Indian,E07000029,137
Asian/Asian British: Pakistani,E07000029,79
Asian/Asian British: Bangladeshi,E07000029,70
Asian/Asian British: Chinese,E07000029,164
Asian/Asian British: Other Asian,E07000029,179
Black/African/Caribbean/Black British,E07000029,84
Black/African/Caribbean/Black British: African,E07000029,52
Black/African/Caribbean/Black British: Caribbean,E07000029,21
Black/African/Caribbean/Black British: Other Black,E07000029,11
Other ethnic group,E07000029,60
Other ethnic group: Arab,E07000029,12
Other ethnic group: Any other ethnic group,E07000029,48
All usual residents,E07000030,52564
White,E07000030,51999
White: English/Welsh/Scottish/Northern Irish/British,E07000030,51009
White: Irish,E07000030,139
White: Gypsy or Irish Traveller,E07000030,15
White: Other White,E07000030,836
Mixed/multiple ethnic groups,E07000030,211
Mixed/multiple ethnic groups: White and Black Caribbean,E07000030,66
Mixed/multiple ethnic groups: White and Black African,E07000030,11
Mixed/multiple ethnic groups: White and Asian,E07000030,89
Mixed/multiple ethnic groups: Other Mixed,E07000030,45
Asian/Asian British,E07000030,292
Asian/Asian British: Indian,E07000030,77
Asian/Asian British: Pakistani,E07000030,7
Asian/Asian British: Bangladeshi,E07000030,49
Asian/Asian British: Chinese,E07000030,79
Asian/Asian British: Other Asian,E07000030,80
Black/African/Caribbean/Black British,E07000030,22
Black/African/Caribbean/Black British: African,E07000030,9
Black/African/Caribbean/Black British: Caribbean,E07000030,7
Black/African/Caribbean/Black British: Other Black,E07000030,6
Other ethnic group,E07000030,40
Other ethnic group: Arab,E07000030,17
Other ethnic group: Any other ethnic group,E07000030,23
All usual residents,E07000031,103658
White,E07000031,101962
White: English/Welsh/Scottish/Northern Irish/British,E07000031,99089
White: Irish,E07000031,355
White: Gypsy or Irish Traveller,E07000031,36
White: Other White,E07000031,2482
Mixed/multiple ethnic groups,E07000031,633
Mixed/multiple ethnic groups: White and Black Caribbean,E07000031,165
Mixed/multiple ethnic groups: White and Black African,E07000031,91
Mixed/multiple ethnic groups: White and Asian,E07000031,233
Mixed/multiple ethnic groups: Other Mixed,E07000031,144
Asian/Asian British,E07000031,787
Asian/Asian British: Indian,E07000031,187
Asian/Asian British: Pakistani,E07000031,40
Asian/Asian British: Bangladeshi,E07000031,53
Asian/Asian British: Chinese,E07000031,267
Asian/Asian British: Other Asian,E07000031,240
Black/African/Caribbean/Black British,E07000031,183
Black/African/Caribbean/Black British: African,E07000031,106
Black/African/Caribbean/Black British: Caribbean,E07000031,67
Black/African/Caribbean/Black British: Other Black,E07000031,10
Other ethnic group,E07000031,93
Other ethnic group: Arab,E07000031,35
Other ethnic group: Any other ethnic group,E07000031,58
All usual residents,E08000001,276786
White,E08000001,226645
White: English/Welsh/Scottish/Northern Irish/British,E08000001,219794
White: Irish,E08000001,1694
White: Gypsy or Irish Traveller,E08000001,214
White: Other White,E08000001,4943
Mixed/multiple ethnic groups,E08000001,4892
Mixed/multiple ethnic groups: White and Black Caribbean,E08000001,1576
Mixed/multiple ethnic groups: White and Black African,E08000001,678
Mixed/multiple ethnic groups: White and Asian,E08000001,1826
Mixed/multiple ethnic groups: Other Mixed,E08000001,812
Asian/Asian British,E08000001,38749
Asian/Asian British: Indian,E08000001,21665
Asian/Asian British: Pakistani,E08000001,12026
Asian/Asian British: Bangladeshi,E08000001,614
Asian/Asian British: Chinese,E08000001,1423
Asian/Asian British: Other Asian,E08000001,3021
Black/African/Caribbean/Black British,E08000001,4652
Black/African/Caribbean/Black British: African,E08000001,3451
Black/African/Caribbean/Black British: Caribbean,E08000001,608
Black/African/Caribbean/Black British: Other Black,E08000001,593
Other ethnic group,E08000001,1848
Other ethnic group: Arab,E08000001,727
Other ethnic group: Any other ethnic group,E08000001,1121
All usual residents,E08000002,185060
White,E08000002,165032
White: English/Welsh/Scottish/Northern Irish/British,E08000002,157897
White: Irish,E08000002,2357
White: Gypsy or Irish Traveller,E08000002,72
White: Other White,E08000002,4706
Mixed/multiple ethnic groups,E08000002,3365
Mixed/multiple ethnic groups: White and Black Caribbean,E08000002,1307
Mixed/multiple ethnic groups: White and Black African,E08000002,444
Mixed/multiple ethnic groups: White and Asian,E08000002,1005
Mixed/multiple ethnic groups: Other Mixed,E08000002,609
Asian/Asian British,E08000002,13407
Asian/Asian British: Indian,E08000002,1387
Asian/Asian British: Pakistani,E08000002,9002
Asian/Asian British: Bangladeshi,E08000002,311
Asian/Asian British: Chinese,E08000002,1100
Asian/Asian British: Other Asian,E08000002,1607
Black/African/Caribbean/Black British,E08000002,1893
Black/African/Caribbean/Black British: African,E08000002,1116
Black/African/Caribbean/Black British: Caribbean,E08000002,593
Black/African/Caribbean/Black British: Other Black,E08000002,184
Other ethnic group,E08000002,1363
Other ethnic group: Arab,E08000002,465
Other ethnic group: Any other ethnic group,E08000002,898
All usual residents,E08000003,503127
White,E08000003,335109
White: English/Welsh/Scottish/Northern Irish/British,E08000003,298237
